Random Walk, DT, DT, DT, DT
,5394,8297,8124,173
,5407,8295,8124,171
,5380,8279,8124,155
,5541,8261,8124,137
,5368,8287,8124,163
,5329,8283,8124,159
,5418,8284,8124,160
,5229,8284,8124,160
,5407,8280,8124,156
Avg of 300
,7235,8334,8124,210
,7254,8316,8124,192
,7320,8311,8124,187
,7309,8317,8124,193
,7298,8333,8124,209
,7299,8315,8124,191
,7123,8355,8124,231
,7176,8331,8124,207
,7148,8337,8124,213
,7325,8297,8124,173
Avg of 400
,9112,8349,8124,225
,8974,8387,8124,263
,8985,8374,8124,250
,8876,8398,8124,274
,8942,8380,8124,256
,9024,8394,8124,270
,8751,8414,8124,290
,9098,8399,8124,275
,8946,8406,8124,282
,8839,8408,8124,284
Avg of 500
,10838,8425,8124,301
,10720,8424,8124,300
,10608,8455,8124,331
,10866,8428,8124,304
,10988,8407,8124,283
,10781,8410,8124,286
,10797,8423,8124,299
,10978,8399,8124,275
,10751,8440,8124,316
,10901,8402,8124,278
Avg of 600
,12570,8492,8124,368
,12459,8509,8124,385
,12682,8487,8124,363
,12338,8500,8124,376
,12712,8479,8124,355
,12417,8485,8124,361
,12674,8486,8124,362
,12432,8509,8124,385
,12458,8474,8124,350
,12623,8466,8124,342
Avg of 700
,14349,8554,8124,430
,14367,8542,8124,418
,14326,8558,8124,434
,14605,8511,8124,387
,14245,8527,8124,403
,14459,8511,8124,387
,14557,8517,8124,393
,14422,8544,8124,420
,14492,8534,8124,410
,14674,8514,8124,390
Avg of 800
,15785,8650,8124,526
,16478,8553,8124,429
,16467,8535,8124,411
,16006,8619,8124,495
,16258,8588,8124,464
,16386,8554,8124,430
,15974,8621,8124,497
,16018,8593,8124,469
,16013,8625,8124,501
,16440,8556,8124,432
Avg of 900
,17698,8668,8124,544
,18356,8623,8124,499
,18314,8617,8124,493
,17844,8641,8124,517
,17908,8663,8124,539
,18124,8608,8124,484
,17575,8695,8124,571
,17891,8648,8124,524
,18229,8586,8124,462
,17918,8633,8124,509
Avg of 1000
Random Walk, LR2, LR2, LR2, LR2
,1847,8172,8124,48
,1847,8164,8124,40
,1754,8174,8124,50
,1860,8169,8124,45
,1844,8172,8124,48
,1819,8175,8124,51
,1813,8177,8124,53
,1667,8196,8124,72
,1784,8186,8124,62
,1833,8174,8124,50
Avg of 100
,3690,8213,8124,89
,3586,8228,8124,104
,3481,8252,8124,128
,3601,8238,8124,114
,3701,8212,8124,88
,3567,8230,8124,106
,3615,8215,8124,91
,3687,8218,8124,94
,3600,8238,8124,114
,3677,8206,8124,82
Avg of 200
,5430,8270,8124,146
,5320,8274,8124,150
,5461,8279,8124,155
,5464,8272,8124,148
,5290,8290,8124,166
,5452,8273,8124,149
,5421,8291,8124,167
,5227,8300,8124,176
,5352,8275,8124,151
,5434,8269,8124,145
Avg of 300
,7280,8314,8124,190
,7179,8324,8124,200
,7160,8337,8124,213
,7388,8309,8124,185
,7137,8346,8124,222
,7323,8317,8124,193
,7120,8342,8124,218
,7074,8349,8124,225
,7140,8340,8124,216
,7138,8346,8124,222
Avg of 400
,9056,8383,8124,259
,8872,8391,8124,267
,9008,8372,8124,248
,9035,8387,8124,263
,9204,8370,8124,246
,9013,8375,8124,251
,9082,8364,8124,240
,9196,8376,8124,252
,8802,8411,8124,287
,8914,8401,8124,277
Avg of 500
,10994,8418,8124,294
,10709,8432,8124,308
,11123,8382,8124,258
,10990,8405,8124,281
,10421,8469,8124,345
,10494,8457,8124,333
,10651,8456,8124,332
,10784,8446,8124,322
,10659,8456,8124,332
,10722,8464,8124,340
Avg of 600
,12647,8488,8124,364
,12698,8480,8124,356
,12322,8521,8124,397
,12485,8519,8124,395
,12600,8494,8124,370
,12542,8495,8124,371
,12636,8496,8124,372
,12622,8482,8124,358
,12617,8477,8124,353
,12589,8475,8124,351
Avg of 700
,14199,8592,8124,468
,14344,8519,8124,395
,14416,8552,8124,428
,14497,8523,8124,399
,14427,8531,8124,407
,14209,8553,8124,429
,14439,8548,8124,424
,14271,8578,8124,454
,14442,8539,8124,415
,14542,8525,8124,401
Avg of 800
,16179,8589,8124,465
,16001,8588,8124,464
,16120,8609,8124,485
,16302,8575,8124,451
,16180,8610,8124,486
,16244,8611,8124,487
,16150,8586,8124,462
,16108,8576,8124,452
,15892,8630,8124,506
,16408,8545,8124,421
Avg of 900
,18033,8691,8124,567
,17959,8639,8124,515
,17660,8661,8124,537
,18030,8629,8124,505
,18018,8637,8124,513
,17677,8703,8124,579
,17626,8679,8124,555
,18061,8609,8124,485
,17992,8645,8124,521
,18119,8636,8124,512
Avg of 1000
Random Walk, NB, NB, NB, NB
,2098,8126,8124,2
,2093,8130,8124,6
,2069,8128,8124,4
,2055,8136,8124,12
,2066,8128,8124,4
,2075,8130,8124,6
,2095,8130,8124,6
,2090,8128,8124,4
,2095,8126,8124,2
,2093,8128,8124,4
Avg of 100
,4156,8134,8124,10
,4146,8140,8124,16
,4128,8142,8124,18
,4171,8130,8124,6
,4169,8134,8124,10
,4180,8132,8124,8
,4195,8126,8124,2
