Random Target, DT, DT, DT, DT
,1817,8261,8124,137
,1846,8272,8124,148
,1837,8263,8124,139
,1864,8273,8124,149
Avg of 900
,2046,8291,8124,167
,2140,8320,8124,196
,2048,8298,8124,174
,2016,8283,8124,159
,2040,8289,8124,165
,2045,8302,8124,178
,2028,8283,8124,159
,2083,8315,8124,191
,2041,8291,8124,167
,2025,8284,8124,160
Avg of 1000
Random Target, NB, NB, NB, NB
,200,8124,8124,0
,199,8124,8124,0
,194,8124,8124,0
,198,8124,8124,0
,199,8124,8124,0
,197,8124,8124,0
,199,8124,8124,0
,198,8124,8124,0
,195,8124,8124,0
,199,8124,8124,0
Avg of 100
,388,8124,8124,0
,391,8124,8124,0
,389,8124,8124,0
,391,8124,8124,0
,390,8124,8124,0
,393,8124,8124,0
,394,8124,8124,0
,387,8124,8124,0
,391,8124,8124,0
,391,8124,8124,0
Avg of 200
,582,8124,8124,0
,576,8124,8124,0
,565,8124,8124,0
,577,8124,8124,0
,586,8124,8124,0
,573,8124,8124,0
,575,8124,8124,0
,579,8124,8124,0
,581,8124,8124,0
,582,8124,8124,0
Avg of 300
,761,8124,8124,0
,758,8124,8124,0
,760,8124,8124,0
,763,8124,8124,0
,767,8124,8124,0
,765,8124,8124,0
,767,8124,8124,0
,765,8124,8124,0
,762,8124,8124,0
,758,8124,8124,0
Avg of 400
,940,8124,8124,0
,944,8124,8124,0
,936,8124,8124,0
,948,8124,8124,0
,936,8124,8124,0
,950,8124,8124,0
,942,8124,8124,0
,951,8124,8124,0
,940,8124,8124,0
,943,8124,8124,0
Avg of 500
,1106,8124,8124,0
,1125,8124,8124,0
,1109,8124,8124,0
,1113,8124,8124,0
,1115,8124,8124,0
,1138,8124,8124,0
,1123,8124,8124,0
,1118,8124,8124,0
,1113,8124,8124,0
,1115,8124,8124,0
Avg of 600
,1272,8124,8124,0
,1278,8124,8124,0
,1260,8124,8124,0
,1296,8124,8124,0
,1287,8124,8124,0
,1284,8124,8124,0
,1286,8124,8124,0
,1285,8124,8124,0
,1292,8124,8124,0
,1283,8124,8124,0
Avg of 700
,1451,8124,8124,0
,1444,8124,8124,0
,1445,8124,8124,0
,1456,8124,8124,0
,1476,8124,8124,0
,1444,8124,8124,0
,1439,8124,8124,0
,1472,8124,8124,0
,1448,8124,8124,0
,1459,8124,8124,0
Avg of 800
,1620,8124,8124,0
,1609,8124,8124,0
,1610,8124,8124,0
,1606,8124,8124,0
,1623,8124,8124,0
,1603,8124,8124,0
,1603,8124,8124,0
,1620,8124,8124,0
,1598,8124,8124,0
,1623,8124,8124,0
Avg of 900
,1755,8124,8124,0
,1771,8124,8124,0
,1759,8124,8124,0
,1777,8124,8124,0
,1765,8124,8124,0
,1802,8124,8124,0
,1766,8124,8124,0
,1770,8124,8124,0
,1757,8124,8124,0
,1762,8124,8124,0
Avg of 1000
Random Target, NB2
,195,8124,8124,0
,199,8124,8124,0
,196,8124,8124,0
,195,8124,8124,0
,197,8124,8124,0
,195,8124,8124,0
,198,8124,8124,0
,199,8124,8124,0
,198,8124,8124,0
,198,8124,8124,0
Avg of 100
,391,8124,8124,0
,393,8124,8124,0
,391,8124,8124,0
,389,8124,8124,0
,391,8124,8124,0
,391,8124,8124,0
,392,8124,8124,0
,388,8124,8124,0
,395,8124,8124,0
,391,8124,8124,0
Avg of 200
,579,8124,8124,0
,585,8124,8124,0
,578,8124,8124,0
,580,8124,8124,0
,583,8124,8124,0
,578,8124,8124,0
,584,8124,8124,0
,583,8124,8124,0
,579,8124,8124,0
,581,8124,8124,0
Avg of 300
,759,8124,8124,0
,762,8124,8124,0
,761,8124,8124,0
,755,8124,8124,0
,756,8124,8124,0
,759,8124,8124,0
,766,8124,8124,0
,757,8124,8124,0
,759,8124,8124,0
,768,8124,8124,0
Avg of 400
,930,8124,8124,0
,939,8124,8124,0
,946,8124,8124,0
,949,8124,8124,0
,944,8124,8124,0
,942,8124,8124,0
,945,8124,8124,0
,939,8124,8124,0
,932,8124,8124,0
,942,8124,8124,0
Avg of 500
,1126,8124,8124,0
,1100,8124,8124,0
,1124,8124,8124,0
,1116,8124,8124,0
,1124,8124,8124,0
,1117,8124,8124,0
,1123,8124,8124,0
,1126,8124,8124,0
,1119,8124,8124,0
,1101,8124,8124,0
Avg of 600
,1282,8124,8124,0
,1285,8124,8124,0
,1272,8124,8124,0
,1281,8124,8124,0
,1286,8124,8124,0
,1277,8124,8124,0
,1283,8124,8124,0
,1290,8124,8124,0
,1289,8124,8124,0
,1288,8124,8124,0
Avg of 700
,1455,8124,8124,0
,1474,8124,8124,0
,1454,8124,8124,0
,1455,8124,8124,0
,1428,8124,8124,0
,1415,8124,8124,0
,1462,8124,8124,0
,1455,8124,8124,0
,1448,8124,8124,0
,1470,8124,8124,0
Avg of 800
,1603,8124,8124,0
,1611,8124,8124,0
,1609,8124,8124,0
,1609,8124,8124,0
,1619,8124,8124,0
,1621,8124,8124,0
,1603,8124,8124,0
,1607,8124,8124,0
,1608,8124,8124,0
,1636,8124,8124,0
Avg of 900
,1746,8124,8124,0
,1775,8124,8124,0
,1772,8124,8124,0
,1749,8124,8124,0
,1771,8124,8124,0
,1777,8124,8124,0
,1776,8124,8124,0
,1773,8124,8124,0
