Random Target, DT, DT, DT, DT
,1840,10261,10127,134
,2103,10283,10127,156
,1904,10263,10127,136
,2137,10287,10127,160
,1743,10247,10127,120
,2180,10291,10127,164
,1819,10257,10127,130
,2097,10284,10127,157
Avg of 300
,2592,10315,10127,188
,2557,10315,10127,188
,2710,10329,10127,202
,2855,10343,10127,216
,2557,10313,10127,186
,2463,10302,10127,175
,2864,10343,10127,216
,2771,10329,10127,202
,2614,10323,10127,196
,2842,10347,10127,220
Avg of 400
,2852,10322,10127,195
,3431,10383,10127,256
,3313,10371,10127,244
,3464,10387,10127,260
,3215,10363,10127,236
,3661,10405,10127,278
,3374,10381,10127,254
,2923,10334,10127,207
,2982,10341,10127,214
,3367,10383,10127,256
Avg of 500
,4131,10437,10127,310
,4346,10457,10127,330
,3728,10394,10127,267
,3878,10415,10127,288
,3850,10415,10127,288
,3854,10415,10127,288
,4098,10439,10127,312
,4389,10467,10127,340
,4315,10456,10127,329
,3982,10423,10127,296
Avg of 600
,4352,10443,10127,316
,4365,10446,10127,319
,4581,10471,10127,344
,4362,10443,10127,316
,4574,10461,10127,334
,4498,10455,10127,328
,4888,10499,10127,372
,4442,10449,10127,322
,4801,10488,10127,361
,4273,10435,10127,308
Avg of 700
,5509,10545,10127,418
,5309,10525,10127,398
,5089,10505,10127,378
,4798,10467,10127,340
,5263,10521,10127,394
,5080,10505,10127,378
,5260,10518,10127,391
,5505,10543,10127,416
,5188,10511,10127,384
,5167,10514,10127,387
Avg of 800
,6141,10589,10127,462
,6215,10599,10127,472
,5636,10543,10127,416
,5603,10537,10127,410
,6062,10581,10127,454
,5959,10571,10127,444
,6189,10599,10127,472
,5809,10569,10127,442
,5759,10557,10127,430
,6309,10607,10127,480
Avg of 900
,6863,10656,10127,529
,6847,10651,10127,524
,6699,10633,10127,506
,6414,10599,10127,472
,6553,10619,10127,492
,6388,10612,10127,485
,6103,10575,10127,448
,6413,10599,10127,472
,6411,10602,10127,475
,6632,10625,10127,498
Avg of 1000
Random Target, LR, LR, LR, LR
,618,10157,10127,30
,661,10165,10127,38
,482,10144,10127,17
,694,10163,10127,36
,611,10155,10127,28
,457,10148,10127,21
,505,10154,10127,27
,489,10145,10127,18
,723,10164,10127,37
,625,10165,10127,38
Avg of 100
,1250,10185,10127,58
,1191,10196,10127,69
,1105,10187,10127,60
,1092,10179,10127,52
,1187,10181,10127,54
,1129,10185,10127,58
,1081,10180,10127,53
,1217,10202,10127,75
,1278,10189,10127,62
,1117,10192,10127,65
Avg of 200
,1746,10222,10127,95
,1727,10222,10127,95
,1854,10214,10127,87
,1799,10214,10127,87
,1861,10206,10127,79
,1934,10228,10127,101
,1763,10226,10127,99
,1923,10235,10127,108
,1828,10216,10127,89
,1774,10226,10127,99
Avg of 300
,2584,10282,10127,155
,2646,10265,10127,138
,2322,10247,10127,120
,2260,10245,10127,118
,2553,10267,10127,140
,2151,10231,10127,104
,2550,10273,10127,146
,2617,10273,10127,146
,2461,10263,10127,136
,2645,10266,10127,139
Avg of 400
,2845,10275,10127,148
,2939,10288,10127,161
,3139,10298,10127,171
