Random Walk , DT, DT, DT, DT
,8569,10520,10127,393
,8461,10519,10127,392
,8503,10515,10127,388
,8463,10481,10127,354
,8540,10569,10127,442
,8470,10516,10127,389
,8621,10490,10127,363
,8493,10513,10127,386
,8386,10532,10127,405
Avg of 400
,10688,10580,10127,453
,10696,10610,10127,483
,10626,10571,10127,444
,10689,10578,10127,451
,10677,10607,10127,480
,10637,10599,10127,472
,10705,10617,10127,490
,10675,10601,10127,474
,10611,10615,10127,488
,10815,10614,10127,487
Avg of 500
,12702,10716,10127,589
,12809,10702,10127,575
,12848,10715,10127,588
,12846,10739,10127,612
,13003,10737,10127,610
,12755,10723,10127,596
,12596,10684,10127,557
,12755,10683,10127,556
,12632,10710,10127,583
,12769,10733,10127,606
Avg of 600
,14924,10815,10127,688
,14696,10798,10127,671
,14889,10805,10127,678
,15072,10785,10127,658
,14828,10794,10127,667
,14752,10800,10127,673
,14658,10831,10127,704
,14904,10788,10127,661
,14882,10784,10127,657
,14861,10749,10127,622
Avg of 700
,16946,10859,10127,732
,16844,10893,10127,766
,16986,10892,10127,765
,16868,10923,10127,796
,17090,10864,10127,737
,17193,10912,10127,785
,17015,10872,10127,745
,16911,10891,10127,764
,17030,10893,10127,766
,16925,10835,10127,708
Avg of 800
,19208,10960,10127,833
,19055,11024,10127,897
,19015,10968,10127,841
,19173,10975,10127,848
,19020,10962,10127,835
,19128,10905,10127,778
,19082,10935,10127,808
,19167,10994,10127,867
,19077,10965,10127,838
,19067,10949,10127,822
Avg of 900
,21212,11066,10127,939
,21445,11086,10127,959
,21320,11090,10127,963
,21130,11064,10127,937
,21047,11071,10127,944
,21045,11058,10127,931
,21348,11071,10127,944
,21368,11111,10127,984
,21240,11094,10127,967
,21297,11038,10127,911
Avg of 1000
Random Walk , LR, LR, LR, LR
,1532,10325,10127,198
,1610,10322,10127,195
,1570,10323,10127,196
,1630,10325,10127,198
,1645,10326,10127,199
,1713,10324,10127,197
,1627,10327,10127,200
,1634,10326,10127,199
,1624,10323,10127,196
,1636,10324,10127,197
Avg of 100
,3148,10526,10127,399
,3037,10526,10127,399
,3236,10526,10127,399
,3264,10521,10127,394
,3071,10525,10127,398
,3302,10524,10127,397
,3080,10520,10127,393
,3390,10527,10127,400
,3546,10521,10127,394
